checked_at,title,url,source_region,eligibility_region,category,score,possible_grant_values,deadline_dates,deadline_phrases,reason_found,snippet
2026-09-03T11:25:04+00:00,News,https://www.daera-ni.gov.uk/news?f%5B0%5D=topic%3A409793,Northern Ireland,"Northern Ireland, Republic of Ireland, Scotland","agriculture, forestry, biodiversity, water, horticulture, aquaculture, energy",105,,2026-09-30,rs reminded to register by 30 September deadline Camelid and cervid keepers across Northern Ireland are being reminded that they,"10 grant signals; category keywords: agriculture, forestry, biodiversity, water, horticulture, aquaculture, energy; NI / border region keywords; matched open phrase; future deadline found; news / publication / search URL penalty","Topic 2007 - 2013 Rural Development Programme ( 1 results ) About biodiversity ( 1 results ) About DAERA statistics ( 6 results ) About plant and tree health ( 2 results ) Actions to Protect our Environment ( 153 results ) Advice and guidance ( 9 results ) Advice for Public Authorities ( 1 results ) Agricultural & Environmental Schemes ( 1 results ) Agricultural and Market Prices ( 1 results ) Agricultural sector income, costs and revenues ( 7 results ) Air and environmental issues ( 22 results ) Air Pollution ( 17 results ) Angling and Commercial Fishing (Inland Fisheries) ( 85 results ) Angling Information ( 60 results ) Animal by-products ( 2 results ) Animal diseases ( 160 results ) Anim"
2026-09-03T11:24:34+00:00,Current funding opportunities,https://www.seupb.eu/peaceplus/current-funding-opportunities,Cross-border,Cross-border,"biodiversity, water, aquaculture",102,"up to €100,000, €100,000, €40 million",,,"8 grant signals; category keywords: biodiversity, water, aquaculture; NI / border region keywords; matched open phrase; money value found",The SEUPB are currently accepting applications to the following PEACEPLUS Investment Areas. Please click on the Investment Area you are interested in to find further information.
2026-09-03T11:26:29+00:00,Investment Area 2.4 – Smart Towns and Villages (Second Call) | SEUPB,https://www.seupb.eu/peaceplus/overview/themes-and-investment-areas/theme-2/24-smart-towns-and-villages/investment-0,Cross-border,Cross-border,"biodiversity, water, rural_business, aquaculture",98,€17.1 million,,,"7 grant signals; category keywords: biodiversity, water, rural_business, aquaculture; NI / border region keywords; matched open phrase; money value found","The SEUPB are now accepting applications to the PEACEPLUS Programme, Investment Area 2.4 – Smart Towns and Villages (Second Call). For the purposes of this call the definition of a Smart Town or Village is: A town, village or rural community where technology is used to enable, accelerate or support strategic goals such as economic growth, wellbeing, sustainability, environmental solutions, social inclusion and cross-border relationships."
2026-09-03T11:24:15+00:00,Funding,https://environment.ec.europa.eu/funding_en,EU / international,"EU / international, Northern Ireland","agriculture, biodiversity, heritage",94,€400 million,,,"6 grant signals; category keywords: agriculture, biodiversity, heritage; NI / border region keywords; matched open phrase; money value found",The EU offers different funding opportunities for projects that support the implementation of environmental policies.
2026-09-03T11:23:52+00:00,Available funding and support,https://www.forestry.gov.scot/available-funding-and-support,Scotland,Scotland,"forestry, biodiversity",91,,,,"9 grant signals; category keywords: forestry, biodiversity; NI / border region keywords; matched open phrase",How to apply for funding - the Forestry Grant Scheme (FGS) offers financial support for the creation of new woodland and the management of existing woodland.
2026-09-03T11:24:27+00:00,Marine Environment and Fisheries Fund 2026/27,https://www.daera-ni.gov.uk/articles/marine-environment-and-fisheries-fund-202627,Northern Ireland,"Northern Ireland, Republic of Ireland","agriculture, biodiversity, tourism, aquaculture",91,,,,"9 grant signals; category keywords: agriculture, biodiversity, tourism, aquaculture; NI / border region keywords; matched open phrase","The Marine Environment and Fisheries Fund is designed to support marine and fisheries activity and help deliver against the aims and objectives within the Joint Fisheries Statement and NI Executive’s commitments to Green Growth and Net-zero. The Programme is managed in Northern Ireland by the Department of Agriculture, Environment and Rural Affairs (DAERA)."
2026-09-03T11:22:31+00:00,Rural Development Grants,https://www.daera-ni.gov.uk/articles/rural-development-grants,Northern Ireland,Cross-border,"agriculture, biodiversity, tourism, rural_business",87,,,,"8 grant signals; category keywords: agriculture, biodiversity, tourism, rural_business; NI / border region keywords; matched open phrase","Rural Development Grants Topics: Grants and Funding , Rural Development Grants Grants available for Rural Development Rural Development Current Opportunities Existing Schemes Click on the links below for details of future funding calls or information on Letters of Offer: PEACEPLUS Programme, Investment Area 2.4 - Smart Town and Villages PEACEPLUS Programme, Investment Area 4.2 Rural Regeneration and Social Inclusion Digital Transformation Flexible Fund Farm Business Improvement Scheme Capital Scheme (FBIS-C) Environmental Farming Scheme (EFS) Rural Micro Capital Grant Scheme Non-Monetary Schemes TRPSI Non-Monetary Schemes The following schemes are open all year round and provide Initiatives "
2026-09-03T11:26:23+00:00,Rural Development Grants,https://www.daera-ni.gov.uk/articles/rural-development-grants#main-content,Northern Ireland,Cross-border,"agriculture, biodiversity, tourism, rural_business",87,,,,"8 grant signals; category keywords: agriculture, biodiversity, tourism, rural_business; NI / border region keywords; matched open phrase","Rural Development Grants Topics: Grants and Funding , Rural Development Grants Grants available for Rural Development Rural Development Current Opportunities Existing Schemes Click on the links below for details of future funding calls or information on Letters of Offer: PEACEPLUS Programme, Investment Area 2.4 - Smart Town and Villages PEACEPLUS Programme, Investment Area 4.2 Rural Regeneration and Social Inclusion Digital Transformation Flexible Fund Farm Business Improvement Scheme Capital Scheme (FBIS-C) Environmental Farming Scheme (EFS) Rural Micro Capital Grant Scheme Non-Monetary Schemes TRPSI Non-Monetary Schemes The following schemes are open all year round and provide Initiatives "
2026-09-03T11:24:17+00:00,LIFE,https://cinea.ec.europa.eu/programmes/life_en,EU / international,EU / international,"agriculture, biodiversity, water, energy",79,,,,"6 grant signals; category keywords: agriculture, biodiversity, water, energy; NI / border region keywords; matched open phrase","The LIFE programme is the EU’s funding instrument for the environment and climate action. Created in 1992, it has co-financed thousands of projects"
2026-09-03T11:26:38+00:00,Environmental Farming Scheme (EFS),https://www.daera-ni.gov.uk/topics/environmental-farming-scheme-efs,Northern Ireland,Northern Ireland,"agriculture, biodiversity, water",67,,,,"3 grant signals; category keywords: agriculture, biodiversity, water; NI / border region keywords; matched open phrase",The Environmental Farming Scheme (EFS) offers participants a 5-year agreement to deliver a range of environmental measures and has three levels:
2026-09-03T11:23:43+00:00,All schemes,https://www.ruralpayments.org/topics/all-schemes/,Scotland,Scotland,"agriculture, forestry, biodiversity, tourism, rural_business, horticulture",59,,,,"11 grant signals; category keywords: agriculture, forestry, biodiversity, tourism, rural_business, horticulture; NI / border region keywords; matched open phrase; closed phrase found","Direct Payments (Pillar 1), SRDP (Pillar 2), including Agri-Environment, Forestry and other schemes"
